,id,chainA,chainB,currentValueBridgedAToB
0,wormhole-ethereum-solana,ethereum,solana,38643283.31077374
1,wormhole-ethereum-bsc,ethereum,bsc,101710.7217085596
2,wormhole-ethereum-avalanche,ethereum,avalanche,723051.5856535392
3,wormhole-solana-bsc,solana,bsc,612206.3572279583
4,wormhole-solana-avalanche,solana,avalanche,576559.7222418815
5,wormhole-bsc-avalanche,bsc,avalanche,914.5768699127999
6,multichain-ethereum-avalanche,ethereum,avalanche,0.0
7,multichain-ethereum-bsc,ethereum,bsc,0.0
8,multichain-ethereum-fantom,ethereum,fantom,480800063.8474084
9,multichain-ethereum-moonbeam,ethereum,moonbeam,17664283.13365544
10,multichain-avalanche-bsc,avalanche,bsc,0.0
11,multichain-avalanche-fantom,avalanche,fantom,0.0
12,multichain-bsc-fantom,bsc,fantom,0.0
13,multichain-bsc-moonbeam,bsc,moonbeam,1186833.2462127162
14,polkadot-moonbeam-acala,moonbeam,acala,0.0
15,arbitrum,ethereum,arbitrum,2530781069.8207893
16,avalanche-ethereum,avalanche,ethereum,0.0
17,avalanche-bitcoin,avalanche,bitcoin,0.0
18,gnosis-chain,ethereum,gnosis-chain,158832642.09872314
19,optimism,ethereum,optimism,1054174513.7799882
20,binance-peg-assets-ethereum,bsc,ethereum,0.0
21,binance-peg-assets-avalanche,bsc,avalanche,0.0
22,binance-peg-assets-cosmoshub,bsc,cosmoshub,0.0
23,binance-peg-assets-near,bsc,near,0.0
24,axelar-ethereum,axelar,ethereum,68582.48678213076
25,axelar-bsc,axelar,bsc,0.0
26,axelar-avalanche,axelar,avalanche,2103063.5252647595
27,axelar-polygon,axelar,polygon,511792.4765392724
28,axelar-fantom,axelar,fantom,32854.21283283445
29,axelar-moonbeam,axelar,moonbeam,211802.31470300845
30,axelar-cosmoshub,axelar,cosmoshub,10452.030974959902
31,axelar-osmosis,axelar,osmosis,63790514.82091277
32,axelar-juno,axelar,juno,2833606.9076881306
33,rainbow-ethereum,ethereum,near,315218157.00869435
